indicators,gendoc
BRANCH_COVERAGE,2
COMMENT_LINES_DENSITY,2
FUNCTION_COMPLEXITY,5
ITS_AUTH_1M,1
ITS_BUGS_DENSITY,1
ITS_FIX_MED_1M,5
ITS_UPDATES_1M,4
LINE_COVERAGE,2
NCLOC,5
PUBLIC_API,5
SCM_COMMITS_1M,1
SCM_COMMITTED_FILES_1M,1
SCM_COMMITTERS_1M,1
