indicators,sirius
ITS_AUTH_1M,5
ITS_BUGS_DENSITY,2
ITS_FIX_MED_1M,3
ITS_UPDATES_1M,5
MKT_FAV,4
MKT_INSTALL_SUCCESS_1M,4
MLS_DEV_RESP_RATIO_1M,1
MLS_DEV_SUBJ_1M,1
MLS_DEV_VOL_1M,1
MLS_USR_RESP_TIME_MED_1M,5
NCC_ANA_IDX,3
NCC_CHA_IDX,3
NCC_REL_IDX,2
NCC_REU_IDX,1
PLAN_MILESTONES_VOL,2
PLAN_REVIEWS_SUCCESS_RATE,4
PUB_ITS_INFO_PMI,5
PUB_SCM_INFO_PMI,5
ROKR_ANA,3
ROKR_CHA,3
ROKR_REL,4
ROKR_REU,3
SCM_COMMITS_1M,5
SCM_COMMITTED_FILES_1M,5
SCM_COMMITTERS_1M,5
