indicators,ease
DL_REPO_1M,1
DL_UPDATE_SITE_1M,1
ITS_AUTH_1M,4
ITS_BUGS_DENSITY,2
ITS_FIX_MED_1M,5
ITS_UPDATES_1M,5
MKT_FAV,1
MKT_INSTALL_SUCCESS_1M,1
MLS_DEV_RESP_RATIO_1M,1
MLS_DEV_SUBJ_1M,5
MLS_DEV_VOL_1M,5
MLS_USR_RESP_TIME_MED_1M,3
PLAN_MILESTONES_VOL,1
PLAN_REVIEWS_SUCCESS_RATE,1
PUB_ITS_INFO_PMI,1
PUB_SCM_INFO_PMI,1
ROKR_ANA,4
ROKR_CHA,4
ROKR_REL,4
ROKR_REU,3
SCM_COMMITS_1M,1
SCM_COMMITTED_FILES_1M,1
SCM_COMMITTERS_1M,1
