metrics,gendoc
BRANCH_COVERAGE,0
COMMENT_LINES_DENSITY,16.4
COMPLEXITY,3185
DUPLICATED_LINES,491
FUNCTIONS,1268
FUNCTION_COMPLEXITY,2.5
ITS_AUTH_1M,0
ITS_BUGS_DENSITY,500
ITS_FIX_MED_1M,0
ITS_UPDATES_1M,1
LINE_COVERAGE,0
NCLOC,17003
PUBLIC_API,1292
SCM_COMMITS_1M,0
SCM_COMMITTED_FILES_1M,0
SCM_COMMITTERS_1M,0
TESTS,0
UNCOVERED_LINES,7413
