project,plan_milestones_vol,plan_reviews_success_rate,pub_scm_info,pub_its_info
technology.packaging,30,40,4,5
technology.packaging.mpc,13,40,4,5
technology.packaging.rtp,0,100,4,5
technology.rcptt,6,0,4,5
technology.recommenders,9,40,4,5
technology.recommenders.incubator,0,0,4,5
technology.remus,0,0,4,5
technology.rtsc,0,0,4,5
technology.sapphire,0,40,4,5
technology.scout,0,80,4,5
technology.sisu,2,20,4,5
technology.skalli,0,0,4,5
technology.stem,0,40,4,5
technology.subversive,4,80,4,5
technology.swtbot,0,20,4,5
technology.tigerstripe,0,40,4,5
technology.tycho,0,0,4,5
technology.uomo,0,100,4,5
technology.vtp,0,50,4,5
technology.xwt,10,66.6666666666667,4,5
tools,0,0,0,0
tools.ajdt,0,20,4,5
tools.aspectj,0,66.6666666666667,4,5
tools.atf,0,0,4,5
tools.buckminster,0,33.3333333333333,4,5
tools.cdt,0,60,4,5
tools.cdt.tcf,0,75,4,5
tools.damos,0,0,4,5
tools.edt,0,75,4,5
tools.gef,24,20,4,5
tools.ldt,5,0,4,5
tools.linuxtools,0,40,4,5
tools.mat,0,40,4,5
tools.objectteams,0,40,4,5
tools.oomph,0,0,4,0
tools.orbit,0,0,4,5
tools.pdt,0,20,4,5
tools.pdt.incubator,0,0,0,0
tools.ptp,0,40,4,5
tools.ptp.photran,0,0,4,5
tools.sequoyah,0,20,4,5
tools.sequoyah.mtj,1,40,4,5
tools.thym,0,0,4,0
tools.titan,0,0,0,5
tools.tm,9,60,4,5
tools.tptp,0,0,4,5
tools.tracecompass,0,0,4,5
tools.windowbuilder,2,20,3,5
webtools,0,40,4,5
webtools.common,0,0,4,5
webtools.dali,0,20,4,5
webtools.ejbtools,0,0,4,5
webtools.incubator,0,0,4,5
webtools.java-ee-config,0,0,4,5
webtools.jeetools,0,0,4,5
webtools.jsdt,0,0,4,5
webtools.jsf,0,0,4,5
webtools.libra,0,0,4,5
webtools.releng,0,0,4,5
webtools.servertools,0,0,4,5
webtools.sourceediting,0,0,4,5
webtools.vjet,0,0,4,5
webtools.webservices,0,0,4,5
