JLM_JSR166_UTILCONCURRENT_MONITORENTER,4,COR CHA THR
CollapsibleIfStatements,3,REL
JumbledIncrementer,3,CHA REL
DMI_CONSTANT_DB_PASSWORD,1,SEC
MS_MUTABLE_ARRAY,3,SEC
PT_ABSOLUTE_PATH_TRAVERSAL,2,SEC
BooleanInstantiation,2,ANA
SE_BAD_FIELD_STORE,2,REL
MS_SHOULD_BE_REFACTORED_TO_BE_FINAL,5,SEC
IS2_INCONSISTENT_SYNC,4,COR THR
FB_MISSING_EXPECTED_WARNING,5,COR
SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION,2,REL
BIT_IOR_OF_SIGNED_BYTE,3,COR
VA_FORMAT_STRING_NO_PREVIOUS_ARGUMENT,1,REL
JLM_JSR166_LOCK_MONITORENTER,4,COR THR
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,3,COR
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,3,COR REU
DLS_DEAD_STORE_OF_CLASS_LITERAL,3,COR ANA
OptimizableToArrayCall,3,EFF
VA_FORMAT_STRING_BAD_ARGUMENT,1,REL
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,SEC
EC_UNRELATED_INTERFACES,4,COR ANA
MissingStaticMethodInNonInstantiatableClass,3,EFF ANA
FI_PUBLIC_SHOULD_BE_PROTECTED,3,SEC
DMI_BAD_MONTH,2,COR
BAC_BAD_APPLET_CONSTRUCTOR,3,COR
SimplifyBooleanReturns,3,ANA
ForLoopShouldBeWhileLoop,3,ANA
BC_IMPOSSIBLE_INSTANCEOF,3,COR ANA
DMI_ARGUMENTS_WRONG_ORDER,3,COR ANA
UseCollectionIsEmpty,3,ANA
PositionLiteralsFirstInComparisons,3,REL
EC_INCOMPATIBLE_ARRAY_COMPARE,2,COR
ClassWithOnlyPrivateConstructorsShouldBeFinal,3,ANA
JML_JSR166_CALLING_WAIT_RATHER_THAN_AWAIT,4,CHA THR
BIT_AND_ZZ,3,COR
EmptyStaticInitializer,,ANA
SE_NONFINAL_SERIALVERSIONID,3,COR REL
PT_RELATIVE_PATH_TRAVERSAL,2,SEC
EmptyFinallyBlock,3,ANA
SimplifyBooleanExpressions,3,ANA
EqualsNull,3,REL
EmptyInitializer,,ANA
UnconditionalIfStatement,3,ANA
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,4,MAT
BC_IMPOSSIBLE_DOWNCAST_OF_TOARRAY,4,COR REL
DontCallThreadRun,4,ANA
DMI_COLLECTIONS_SHOULD_NOT_CONTAIN_THEMSELVES,2,COR
UnusedLocalVariable,3,ANA EFF
EmptyWhileStmt,3,ANA EFF
PositionLiteralsFirstInCaseInsensitiveComparisons,3,REL
UnusedPrivateMethod,3,ANA EFF
InstantiationToGetClass,3,EFF
AvoidProtectedMethodInFinalClassNotExtending,3,ANA
EQ_OTHER_USE_OBJECT,3,COR REU
SE_NO_SUITABLE_CONSTRUCTOR,2,REL
DMI_DOH,4,COR
PreserveStackTrace,3,ANA
SimpleDateFormatNeedsLocale,3,REL
EmptyMethodInAbstractClassShouldBeAbstract,3,REU
AvoidMultipleUnaryOperators,,ANA REL
MS_CANNOT_BE_FINAL,4,SEC
MS_MUTABLE_HASHTABLE,3,SEC
BIT_AND,3,COR
VR_UNRESOLVABLE_REFERENCE,5,COR
AccessorClassGeneration,3,
EmptySwitchStatements,,ANA
NonStaticInitializer,3,ANA
CouplingBetweenObjects,3,REU
DMI_CALLING_NEXT_FROM_HASNEXT,3,COR
EI_EXPOSE_REP2,3,SEC
DLS_DEAD_LOCAL_INCREMENT_IN_RETURN,3,COR ANA
ConfusingTernary,3,ANA
XSS_REQUEST_PARAMETER_TO_JSP_WRITER,2,SEC
CompareObjectsWithEquals,3,REL
ExtendsObject,4,ANA
ReturnFromFinallyBlock,3,REL
MS_OOI_PKGPROTECT,4,SEC
DM_CONVERT_CASE,3,REU POR
SE_READ_RESOLVE_MUST_RETURN_OBJECT,3,REL
LogicInversion,3,ANA
XSS_REQUEST_PARAMETER_TO_SEND_ERROR,2,SEC
HRS_REQUEST_PARAMETER_TO_COOKIE,2,SEC
VA_FORMAT_STRING_ILLEGAL,1,REL
ClassCastExceptionWithToArray,3,REL
AvoidSynchronizedAtMethodLevel,3,EFF CHA
AT_OPERATION_SEQUENCE_ON_CONCURRENT_ABSTRACTION,3,COR THR
UnsynchronizedStaticDateFormatter,3,REL
SwitchStmtsShouldHaveDefault,3,REL
AvoidInstanceofChecksInCatchClause,3,CHA
EC_ARRAY_AND_NONARRAY,2,COR
BadComparison,3,REL
SE_BAD_FIELD,3,COR
VA_FORMAT_STRING_BAD_CONVERSION,1,REL
DMI_ANNOTATION_IS_NOT_VISIBLE_TO_REFLECTION,4,COR
BC_BAD_CAST_TO_ABSTRACT_COLLECTION,4,REL
BX_UNBOXED_AND_COERCED_FOR_TERNARY_OPERATOR,3,COR
SwitchDensity,3,ANA CHA
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,3,MAT
SE_NONSTATIC_SERIALVERSIONID,3,COR REL
AbstractClassWithoutAbstractMethod,3,ANA
